player_name,position,team,proj_fpts,clean_name,depth_chart_order,search_rank,custom_rank,vorp,tier,rank
Roquan Smith,LB,BAL,148.8125,roquan smith,1.0,95.0,95.0,9.9375,Tier 2,98
Jadarian Price,RB,SEA,181.8,jadarian price,1.0,57.0,43.0,9.900000000000006,Tier 5,99
Parker Washington,WR,JAX,168.20000000000002,parker washington,1.0,71.0,54.5,9.700000000000017,Tier 5,100
Myles Garrett,DL,LAR,131.275,myles garrett,1.0,84.0,84.0,9.6875,Tier 1,101
Rome Odunze,WR,CHI,167.2,rome odunze,1.0,63.0,43.5,8.699999999999989,Tier 5,102
Luther Burden,WR,CHI,166.79999999999998,luther burden,2.0,40.0,35.5,8.299999999999983,Tier 5,103
New Orleans Saints,DEF,NO,202.0,new orleans saints,1.0,157.0,86.0,8.0,Tier 3,104
Chamarri Conner,DB,KC,127.4,chamarri conner,1.0,219.0,219.0,7.400000000000006,Tier 1,105
Bryce Young,QB,CAR,229.3,bryce young,1.0,126.0,75.5,7.400000000000006,Tier 5,106
Mark Andrews,TE,BAL,190.35000000000002,mark andrews,1.0,96.0,52.0,6.600000000000023,Tier 5,107
Cooper McDonald,LB,KC,145.0,cooper mcdonald,1.0,9999999.0,9999999.0,6.125,Tier 2,108
Dennis Gardeck,LB,JAX,145.0,dennis gardeck,1.0,9999999.0,9999999.0,6.125,Tier 3,109
Trey Moore,LB,MIA,145.0,trey moore,1.0,664.0,664.0,6.125,Tier 3,110
Austin Ajiake,LB,IND,145.0,austin ajiake,1.0,9999999.0,9999999.0,6.125,Tier 3,111
Kyle Louis,LB,MIA,145.0,kyle louis,1.0,9999999.0,9999999.0,6.125,Tier 3,112
Jackson Kuwatch,LB,CAR,145.0,jackson kuwatch,1.0,649.0,649.0,6.125,Tier 3,113
Fred Warner,LB,SF,144.91250000000002,fred warner,1.0,119.0,119.0,6.037500000000023,Tier 3,114
Zack Baun,LB,PHI,144.5625,zack baun,1.0,137.0,137.0,5.6875,Tier 4,115
Budda Baker,DB,ARI,125.6375,budda baker,1.0,216.0,216.0,5.637500000000003,Tier 1,116
Brenton Strange,TE,JAX,188.7,brenton strange,1.0,104.0,62.5,4.949999999999989,Tier 5,117
Bhayshul Tuten,RB,JAX,176.0,bhayshul tuten,1.0,44.0,32.0,4.099999999999994,Tier 5,118
Atlanta Falcons,DEF,ATL,198.0,atlanta falcons,1.0,158.0,89.5,4.0,Tier 3,119
Vernon Broughton,DL,NO,125.0,vernon broughton,1.0,9999999.0,9999999.0,3.4124999999999943,Tier 1,120
Yahya Black,DL,PIT,125.0,yahya black,1.0,9999999.0,9999999.0,3.4124999999999943,Tier 1,121
Javon Kinlaw,DL,WAS,125.0,javon kinlaw,1.0,700.0,700.0,3.4124999999999943,Tier 1,122
Cameron Thomas,DL,ATL,125.0,cameron thomas,1.0,9999999.0,9999999.0,3.4124999999999943,Tier 2,123
Thomas Booker,DL,LV,125.0,thomas booker,1.0,9999999.0,9999999.0,3.4124999999999943,Tier 2,124
Cory Durden,DL,NE,125.0,cory durden,1.0,9999999.0,9999999.0,3.4124999999999943,Tier 2,125
Levi Drake Rodriguez,DL,MIN,125.0,levi drake rodriguez,1.0,9999999.0,9999999.0,3.4124999999999943,Tier 1,126
Tim Settle,DL,WAS,125.0,tim settle,1.0,9999999.0,9999999.0,3.4124999999999943,Tier 1,127
Jacob Martin,DL,TEN,125.0,jacob martin,1.0,9999999.0,9999999.0,3.4124999999999943,Tier 2,128
Jake Ferguson,TE,DAL,185.70000000000002,jake ferguson,1.0,97.0,56.0,1.950000000000017,Tier 5,129
Xavier Watts,DB,ATL,121.53750000000001,xavier watts,1.0,233.0,233.0,1.5375000000000085,Tier 2,130
Xavier McKinney,DB,GB,121.0875,xavier mckinney,1.0,294.0,294.0,1.0875000000000057,Tier 2,131
Daniel Jones,QB,IND,222.7,daniel jones,1.0,130.0,76.5,0.799999999999983,Tier 5,132
Cooper DeJean,DB,PHI,120.525,cooper dejean,1.0,221.0,221.0,0.5250000000000057,Tier 2,133
Jayden Reed,WR,GB,159.0,jayden reed,2.0,102.0,68.0,0.5,Tier 5,134
Brian Burns,DL,NYG,121.775,brian burns,1.0,133.0,133.0,0.1875,Tier 2,135
Jordyn Brooks,LB,MIA,138.9,jordyn brooks,1.0,143.0,143.0,0.025000000000005684,Tier 4,136
Quincy Riley,DB,NO,120.0,quincy riley,1.0,9999999.0,9999999.0,0.0,Tier 3,137
Amik Robertson,DB,WAS,120.0,amik robertson,1.0,9999999.0,9999999.0,0.0,Tier 2,138
Brian Thomas,WR,JAX,158.5,brian thomas,2.0,75.0,56.0,0.0,Tier 5,139
Marcus Harris,DB,TEN,120.0,marcus harris,1.0,9999999.0,9999999.0,0.0,Tier 4,140
Rhamondre Stevenson,RB,NE,171.9,rhamondre stevenson,2.0,58.0,42.0,0.0,Tier 5,141
JuJu Brents,DB,MIA,120.0,juju brents,1.0,9999999.0,9999999.0,0.0,Tier 3,142
Isaiah Likely,TE,NYG,183.75,isaiah likely,1.0,108.0,62.0,0.0,Tier 5,143
Jamien Sherwood,LB,NYJ,138.875,jamien sherwood,1.0,138.0,138.0,0.0,Tier 4,144
RJ Mickens,DB,LAC,120.0,rj mickens,1.0,9999999.0,9999999.0,0.0,Tier 3,145
Aidan Hutchinson,DL,DET,121.5875,aidan hutchinson,1.0,80.0,80.0,0.0,Tier 2,146
Keith Abney,DB,DET,120.0,keith abney,1.0,540.0,540.0,0.0,Tier 3,147
Zayne Anderson,DB,MIA,120.0,zayne anderson,1.0,9999999.0,9999999.0,0.0,Tier 2,148
Baltimore Ravens,DEF,BAL,194.0,baltimore ravens,1.0,159.0,86.0,0.0,Tier 3,149
Jason Marshall,DB,MIA,120.0,jason marshall,1.0,9999999.0,9999999.0,0.0,Tier 4,150
Geno Smith,QB,NYJ,221.9,geno smith,1.0,210.0,120.0,0.0,Tier 5,151
Dee Alford,DB,BUF,120.0,dee alford,1.0,9999999.0,9999999.0,0.0,Tier 3,152
Jeremy Reaves,DB,WAS,120.0,jeremy reaves,1.0,9999999.0,9999999.0,0.0,Tier 2,153
L'Jarius Sneed,DB,KC,120.0,ljarius sneed,1.0,9999999.0,9999999.0,0.0,Tier 3,154
Quay Walker,LB,LV,138.8125,quay walker,1.0,169.0,169.0,-0.0625,Tier 4,155
Derwin James,DB,LAC,119.61250000000001,derwin james,1.0,165.0,165.0,-0.38749999999998863,Tier 4,156
Kaden Elliss,LB,NO,138.28750000000002,kaden elliss,1.0,276.0,276.0,-0.5874999999999773,Tier 4,157
Tre'von Moehrig,DB,CAR,119.4,trevon moehrig,1.0,238.0,238.0,-0.5999999999999943,Tier 4,158
Tykee Smith,DB,TB,119.05000000000001,tykee smith,1.0,227.0,227.0,-0.9499999999999886,Tier 4,159
Devin Lloyd,LB,CAR,137.675,devin lloyd,1.0,215.0,215.0,-1.1999999999999886,Tier 4,160
Cam Ward,QB,TEN,220.60000000000002,cam ward,1.0,103.0,64.5,-1.299999999999983,Tier 5,161
Edgerrin Cooper,LB,GB,137.425,edgerrin cooper,1.0,124.0,124.0,-1.4499999999999886,Tier 5,162
Jaylen Warren,RB,PIT,170.20000000000002,jaylen warren,1.0,52.0,40.0,-1.6999999999999886,Tier 5,163
Jessie Bates,DB,ATL,117.61250000000001,jessie bates,1.0,305.0,305.0,-2.3874999999999886,Tier 4,164
Isaiah Pola-Mao,DB,LV,117.5,isaiah polamao,1.0,560.0,560.0,-2.5,Tier 5,165
T.J. Hockenson,TE,MIN,180.9,tj hockenson,1.0,128.0,75.5,-2.8499999999999943,Tier 5,166
Sonny Styles,LB,WAS,135.9875,sonny styles,1.0,123.0,123.0,-2.8874999999999886,Tier 5,167
TreVeyon Henderson,RB,NE,169.0,treveyon henderson,1.0,39.0,33.0,-2.9000000000000057,Tier 5,168
Joshua Metellus,DB,MIN,117.0,joshua metellus,1.0,398.0,398.0,-3.0,Tier 5,169
Kevin Winston,DB,TEN,116.75,kevin winston,1.0,390.0,390.0,-3.25,Tier 5,170
Hunter Henry,TE,NE,180.45,hunter henry,1.0,92.0,53.0,-3.3000000000000114,Tier 5,171
