"id","first_name","last_name","team","position","pos","points","floor","ceiling","sd_pts","player_name"
"14840","Brandon","Aiyuk","SFO","WR","WR",61.6888041235455,25.6124160952671,97.7086212252239,59.2784008889862,"Brandon Aiyuk"
"16342","Demario","Douglas","NEP","WR","WR",61.3216163261162,43.73,89.3478187740184,18.23598,"Demario Douglas"
"15981","KaVontae","Turpin","DAL","WR","WR",59.9330041070063,55.6011241256916,68.2997046484654,2.98186628750392,"KaVontae Turpin"
"16191","Cedric","Tillman","CLE","WR","WR",59.882573233225,36.9122573233225,82.8528891431274,37.8397670755793,"Cedric Tillman"
"17507","Zachariah","Branch","ATL","WR","WR",57.6300931162997,10.5155,115.786423110521,43.7442050361507,"Zachariah Branch"
"14974","Darnell","Mooney","NYG","WR","WR",56.5112925748703,42.928649618165,105.622446462847,12.0092674433446,"Darnell Mooney"
"15777","Calvin","Austin III","NYG","WR","WR",53.3567647423367,17.7666666666667,93.0885012175467,45.174822,"Calvin Austin III"
"14592","Olamide","Zaccheaus","ATL","WR","WR",52.9194977471532,29.7303333333333,80.0721955247271,26.2149415277137,"Olamide Zaccheaus"
"17520","Ted","Hurst","TBB","WR","WR",52.8627585392439,28.4175384615385,79.9683922797397,37.5303083076923,"Ted Hurst"
"15301","Tutu","Atwell","MIA","WR","WR",51.2213138042573,26.1648816777352,96.6076070465656,22.8604399247833,"Tutu Atwell"
"14105","Marquise","Brown","PHI","WR","WR",49.797235353193,29.125,100.747126610431,20.086497423096,"Marquise Brown"
"17098","Tory","Horton","SEA","WR","WR",49.6875,40.7225,101.452453087744,8.54966,"Tory Horton"
"13289","Mack","Hollins","NEP","WR","WR",49.5194680582517,28.815,76.495085009706,27.65049,"Mack Hollins"
"16635","Luke","McCaffrey","WAS","WR","WR",48.866711858358,22.185,70.2151626900886,29.676978004806,"Luke McCaffrey"
"13418","Kendrick","Bourne","ARI","WR","WR",47.0025,42.853,53.428,4.49227799999999,"Kendrick Bourne"
"13066","Kalif","Raymond","CHI","WR","WR",45.478406830874,38.66,52.2622645911465,11.1397038698153,"Kalif Raymond"
"17529","Brenen","Thompson","LAC","WR","WR",44.0666935435499,24.616320855615,88.6426422113249,6.17237300534758,"Brenen Thompson"
"16451","Tyrell","Shavers","BUF","WR","WR",43.68,43.68,43.68,NA,"Tyrell Shavers"
"14315","Ashton","Dulin","IND","WR","WR",40.4709487928349,19.9243356643357,83.37107998987,10.8323110489511,"Ashton Dulin"
"15292","Dyami","Brown","WAS","WR","WR",40.3167012436644,18.013,60.9671244771919,32.3159430554275,"Dyami Brown"
"13348","David","Moore","CAR","WR","WR",39.96,39.96,39.96,NA,"David Moore"
"15319","Joshua","Palmer","BUF","WR","WR",37.8905763281256,35.25,44.0360747812522,0.741299999999989,"Joshua Palmer"
"12658","Sterling","Shepard","HOU","WR","WR",37.24,37.24,37.24,NA,"Sterling Shepard"
